user_id;follower_count;following_count;like_count;retweet_count;Num_Syllables;id;Avg_Syllables;Avg_Words_in_Sentences;Flesh-Kincaid;Num_Big_words;Num_Long_Sentences;Num_Sentences;Num_Short_Sentences;Num_Urls;Num_words;Rate_Adv_adj;class
487118986;12616791;61;47;20;36;110;1.7142857143;20;12.8285714286;6;0;1;0;1;21;0.0952380952;real
487118986;12616791;61;108;30;42;111;2;7;10.74;7;0;3;2;1;21;0.0476190476;real
487118986;12616791;61;28;13;37;112;2.1304347826;22;18.5191304348;7;0;1;0;1;23;0.0434782609;real
487118986;12616791;61;14;4;41;113;1.7619047619;20;13.3904761905;8;0;1;0;1;21;0;real
487118986;12616791;61;91;27;41;114;1.8636363636;21;14.9809090909;5;0;1;0;1;22;0.0909090909;real
487118986;12616791;61;42;5;29;115;1.7826086957;22;14.4147826087;5;0;1;0;1;23;0.0869565217;real
487118986;12616791;61;23;5;26;116;1.7058823529;15;11.1694117647;5;0;1;0;2;17;0.1176470588;real
487118986;12616791;61;90;36;44;117;1.8571428571;4.3333333333;8.1442857143;4;0;3;2;2;14;0.1428571429;real
487118986;12616791;61;47;19;37;118;2.3157894737;18;19.1463157895;8;0;1;0;1;19;0.1578947368;real
487118986;12616791;61;15;2;41;119;1.7619047619;20;13.3904761905;5;0;1;0;1;21;0.0952380952;real
487118986;12616791;61;40;22;37;120;2.1578947368;18;17.2831578947;8;0;1;0;1;19;0;real
487118986;12616791;61;57;22;50;121;1.7619047619;20;13.3904761905;5;0;1;0;1;21;0.0952380952;real
487118986;12616791;61;52;26;38;122;2.5;9.5;17.81;9;0;2;1;1;20;0.15;real
487118986;12616791;61;43;15;39;123;2;18;15.42;7;0;1;0;1;19;0.0526315789;real
487118986;12616791;61;29;3;44;124;2.1666666667;6;12.3166666667;10;0;3;2;1;18;0.1666666667;real
487118986;12616791;61;20;5;44;125;2.3157894737;6.3333333333;14.2063157895;8;0;3;2;1;19;0.1052631579;real
487118986;12616791;61;38;6;35;126;2.5882352941;16;21.5811764706;7;0;1;0;1;17;0;real
487118986;12616791;61;22;2;40;127;1.5909090909;21;11.7627272727;4;0;1;0;1;22;0.0909090909;real
487118986;12616791;61;11;6;42;128;2.6666666667;4.6666666667;17.8266666667;8;0;3;3;2;15;0.1333333333;real
487118986;12616791;61;24;3;40;129;1.9090909091;21;15.5172727273;6;0;1;0;1;22;0.0909090909;real
